"qb","school","bin","epa","cpoe","passes"
"287","Bishop Davenport","South Alabama","ML",2.40834701061249,-4.40802127122879,4
"288","Bishop Davenport","South Alabama","MR",8.72409754991531,10.7677059041129,9
"289","Bishop Davenport","South Alabama","SC",-0.580593943595886,-23.5779851675034,4
"290","Bishop Davenport","South Alabama","SL",2.50349283218384,-33.6113293965658,3
"291","Bishop Davenport","South Alabama","SR",10.1062971949577,18.6189715678875,13
"292","Bjorn Jurgensen","Hawai'i","DR",-0.128335118293762,-45.3263431787491,1
"293","Bjorn Jurgensen","Hawai'i","MC",-0.6905517578125,-44.6001082658768,1
"294","Bjorn Jurgensen","Hawai'i","MR",-1.79232811927795,-36.4929988980293,2
"295","Bjorn Jurgensen","Hawai'i","SL",-0.172741755843163,29.3962955474854,1
"296","Blake Baker","Louisiana Tech","BC",-1.77471494674683,8.49153598149617,3
"297","Blake Baker","Louisiana Tech","BL",-0.543340086936951,16.9302582740784,2
"298","Blake Baker","Louisiana Tech","BR",-1.84654366970062,-12.3901069164276,2
"299","Blake Baker","Louisiana Tech","DC",7.15612107515335,-5.91532289981842,2
"300","Blake Baker","Louisiana Tech","DL",0.492581844329834,12.0387583971024,2
"301","Blake Baker","Louisiana Tech","DR",1.5663743019104,49.872624874115,1
"302","Blake Baker","Louisiana Tech","MC",0.522758901119232,-17.1578332781792,4
"303","Blake Baker","Louisiana Tech","ML",-0.778154611587524,-66.9302940368652,1
"304","Blake Baker","Louisiana Tech","MR",0.912948966026306,20.2218558639288,2
"305","Blake Baker","Louisiana Tech","SC",-1.56768246740103,-12.2345751151443,4
"306","Blake Baker","Louisiana Tech","SL",-0.431138604879379,24.492022395134,2
"307","Blake Baker","Louisiana Tech","SR",0.979027092456818,7.14481025934219,7
"308","Blake Barnett","Kansas State","MC",1.69873189926147,37.442547082901,1
"309","Blake Barnett","Kansas State","MR",-0.499961137771606,-66.1827147006989,1
"310","Blake Barnett","Kansas State","SC",1.67824077606201,30.5281728506088,2
"311","Blake Barnett","Kansas State","SR",-3.41068029403687,26.9091546535492,1
"312","Blaze Berlowitz","Vanderbilt","BC",1.70903658866882,10.9700441360474,2
"313","Blaze Berlowitz","Vanderbilt","BR",1.28745341300964,15.9507125616074,2
"314","Blaze Berlowitz","Vanderbilt","DL",-0.654933646321297,-35.456857085228,2
"315","Blaze Berlowitz","Vanderbilt","DR",1.97372823953629,4.08626049757004,2
"316","Blaze Berlowitz","Vanderbilt","MC",-0.109918713569641,-17.3518717288971,2
"317","Blaze Berlowitz","Vanderbilt","ML",1.49294519424438,36.7822170257568,1
"318","Blaze Berlowitz","Vanderbilt","MR",-3.60481029748917,-20.8844757638872,4
"319","Blaze Berlowitz","Vanderbilt","SC",1.56231701374054,29.8815727233887,1
"320","Blaze Berlowitz","Vanderbilt","SL",2.90168452262878,25.2238601446152,4
"321","Blaze Berlowitz","Vanderbilt","SR",-2.55705527961254,-30.4137670993805,5
"322","Bowe Bentley","Oklahoma","ML",-0.410595059394836,-62.1821999549866,1
"323","Brad Jackson","Texas State","BC",-1.67106032371521,-74.0171134471893,1
"324","Brad Jackson","Texas State","BL",1.98467725515366,-16.6850441031986,9
"325","Brad Jackson","Texas State","BR",0.768104434013367,4.9394927918911,8
"326","Brad Jackson","Texas State","DC",-0.527699112892151,-17.2573359310627,5
"327","Brad Jackson","Texas State","DL",3.58439040184021,20.9851130843163,2
"328","Brad Jackson","Texas State","DR",3.32452476024628,18.362058699131,2
"329","Brad Jackson","Texas State","MC",9.77986311912537,14.8115015029907,5
"330","Brad Jackson","Texas State","ML",5.07915043830872,40.8469418684641,3
"331","Brad Jackson","Texas State","MR",5.57785928249359,11.2189387281736,6
"332","Brad Jackson","Texas State","SC",-2.39255225658417,-15.476720141513,7
"333","Brad Jackson","Texas State","SL",5.78289218991995,19.6078476309776,10
"334","Brad Jackson","Texas State","SR",-0.771553695201874,2.11158790267431,13
"335","Braden Atkinson","Oregon State","BC",-3.96430945396423,12.0112586021423,5
"336","Braden Atkinson","Oregon State","BL",-5.38321191072464,1.14305168390274,8
"337","Braden Atkinson","Oregon State","BR",-3.28119829297066,3.97549271583557,10
"338","Braden Atkinson","Oregon State","DC",2.16026382893324,-14.5306902006269,8
"339","Braden Atkinson","Oregon State","DL",4.77797317504883,-5.24049947659175,6
"340","Braden Atkinson","Oregon State","DR",12.483489304781,7.75150936096907,16
"341","Braden Atkinson","Oregon State","MC",13.1213499903679,9.66396927833557,8
"342","Braden Atkinson","Oregon State","ML",-2.60598850250244,-34.819158911705,4
"343","Braden Atkinson","Oregon State","MR",8.4669973552227,9.47746224701405,15
"344","Braden Atkinson","Oregon State","SC",14.8182574808598,11.4552110433578,19
"345","Braden Atkinson","Oregon State","SL",3.81900452077389,13.2799142828354,13
"346","Braden Atkinson","Oregon State","SR",3.47083085775375,1.87456347048283,16
"347","Braden Streeter","Delaware","BL",-1.4958484172821,-10.1225800812244,1
"348","Braden Streeter","Delaware","DL",-0.760770201683044,-44.7392761707306,1
"349","Braden Streeter","Delaware","DR",2.95399641990662,13.7284457683563,2
"350","Braden Streeter","Delaware","MC",0.717359900474548,89.6355547010899,1
"351","Braden Streeter","Delaware","SC",-1.86122715473175,-37.4824285507202,3
"352","Braden Streeter","Delaware","SL",0.432939291000366,24.5155513286591,2
"353","Braden Streeter","Delaware","SR",-1.08425521850586,-6.76018198331197,3
